"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"AFG",2001,88.0927124724282,22268.905380591823
"AGO",2001,101220.62152449824,36876624.21745112
"AIA",2001,3.878460708097651,626.7003350259662
"ALA",2001,396.93482567170076,75897.87350601748
"ALB",2001,3729.021031483719,1333222.676367988
"AND",2001,1.654212947716936,593.7030611499795
"ARG",2001,147805.950355637,31607823.40318388
"ARM",2001,131.8406122644954,39565.19913911073
"ATG",2001,24.074189438288734,6749.782437318849
"AUS",2001,218816.30207113773,32424288.617012594
"AUT",2001,6926.269007849323,2785494.7574820607
"AZE",2001,553.2993561210784,153323.7067899948
"BDI",2001,1417.2469570863382,476065.517951444
"BEL",2001,971.4881952763182,420925.7126785065
"BEN",2001,3749.3311051827836,1104927.968007905
"BES",2001,3.031857252893001,246.51329886644095
"BFA",2001,59.47710511237851,14104.999102727808
"BGD",2001,4586.997202714805,2332145.6345766853
"BGR",2001,8202.319111660234,2319643.1627303674
"BHS",2001,432.99941970355695,80406.3514861001
"BIH",2001,1496.107104548275,614342.3628375317
"BLR",2001,18358.964278886408,5020576.055285501
"BLZ",2001,8211.629492547678,3485685.453237166
"BMU",2001,0.19581979363933033,64.06545187886792
"BOL",2001,140321.2605309791,62226665.08353759
"BRA",2001,2746361.5567061175,1177964710.5619283
"BRB",2001,12.367461564155155,3457.8520843978886
"BRN",2001,1244.4538228679598,831201.9304824646
"BTN",2001,297.65963149428165,172240.0737476841
"BWA",2001,130.98388147716673,21149.783942013582
"CAF",2001,31282.436853072544,14086047.308327824
"CAN",2001,1358154.7994920977,256771843.6922166
"CHE",2001,1165.213247326304,557687.64318042
"CHL",2001,72711.30280696688,20878578.496681716
"CHN",2001,230289.1152788025,88004209.53186883
"CIV",2001,122711.45023838048,45844556.75482096
"CMR",2001,39203.71718120766,19586487.564651474
"COD",2001,455516.7389704588,249893443.7938462
"COG",2001,27030.696217873665,13929408.93783673
"COL",2001,230054.8356723769,112036204.73295945
"COM",2001,36.973693208113474,17548.63372048625
"CPV",2001,7.13645079432583,0.0
"CRI",2001,15461.879449467167,6911089.055393905
"CUB",2001,18942.90877802758,5201655.647982035
"CUW",2001,0.9027885255115696,161.23979777171598
"CYM",2001,20.681612199946237,3919.0300957050667
"CYP",2001,78.62890207431755,18347.566417893246
"CZE",2001,3460.1425855060693,1311734.8365473372
"DEU",2001,15286.380567887272,6105155.373413356
"DMA",2001,22.792755510800127,12916.54605384767
"DNK",2001,4329.2958531879685,1041158.4965467941
"DOM",2001,11246.81006554481,4101166.9108347096
"DZA",2001,3468.760252170322,869336.7557522542
"ECU",2001,45002.46870978963,24640083.5235528
"EGY",2001,147.7649426811371,28995.456535351303
"ERI",2001,2.529524332602501,975.2448386883834
"ESP",2001,32811.05351921236,9925381.889612552
"EST",2001,16872.43450528028,3703047.1352753597
"ETH",2001,11947.247243561262,5104492.616531737
"FIN",2001,151003.26050003825,27741267.122726496
"FJI",2001,1097.7640543965958,571609.9961846658
"FRA",2001,34420.96339434098,12741582.790888753
"GAB",2001,15082.63772959314,8578859.032548172
"GBR",2001,23244.127250640322,7561956.509117698
"GEO",2001,666.5563666120051,245258.4257974264
"GGY",2001,0.9576780356466469,249.65148920573145
"GHA",2001,43644.05617299004,16586709.223342072
"GIB",2001,0.18728563696830533,41.34495780878648
